date,comp_score,setup,doom_score,provisional,doom_raw,n_headlines,n_severe,n_systemic,zone,val_score,val_zone,val_mvrv,val_mayer,val_puell,val_metcalfe,macro_score,macro_zone,macro_liq,macro_usd,macro_credit,pos_score,pos_zone,pos_scmom,pos_ssr,pos_funding
2026-07-06,44.7,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",12.2,1,14.0,39,4,1,warming_up,28.6,cheap,19.6,23.5,13.3,57.8,50.6,neutral,38.0,47.9,66.0,,,,,
2026-07-07,44.4,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",11.6,1,28.0,84,8,6,warming_up,28.3,cheap,20.0,24.6,9.5,59.0,50.0,neutral,38.1,44.9,67.1,,,,,
2026-07-08,40.4,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",13.6,1,32.4,83,10,4,warming_up,30.2,cheap,19.4,23.5,18.7,59.3,37.9,neutral,20.1,25.3,68.3,,,,,
2026-07-09,40.9,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",12.3,1,33.0,92,8,4,warming_up,28.1,cheap,18.1,20.9,14.1,59.4,38.6,neutral,20.1,24.2,71.4,,,,,
2026-07-10,40.4,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",5.3,1,13.0,84,1,1,warming_up,29.0,cheap,19.2,23.2,12.2,61.5,44.8,neutral,41.1,23.9,69.3,,,,,
2026-07-11,40.7,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",8.2,1,13.2,56,4,1,warming_up,30.9,cheap,20.1,25.1,15.0,63.3,44.8,neutral,41.2,23.9,69.3,,,,,
2026-07-12,43.0,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",16.0,1,10.0,21,3,3,warming_up,31.7,cheap,19.8,24.8,19.1,63.0,44.8,neutral,41.2,23.9,69.3,,,,,
2026-07-13,39.7,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",6.3,1,5.4,29,2,1,warming_up,32.0,cheap,19.5,24.7,21.0,63.0,44.8,neutral,41.2,23.9,69.3,,,,,
2026-07-14,41.0,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",9.0,1,21.8,83,6,3,warming_up,30.3,cheap,17.8,21.6,20.5,61.1,44.4,neutral,41.0,22.5,69.8,,,,,
2026-07-15,38.4,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",6.0,1,14.4,82,4,2,warming_up,35.4,cheap,22.5,25.8,28.7,64.5,44.6,neutral,41.6,22.5,69.7,,,,,
2026-07-16,39.8,"🟡 BARATO, SEM GATILHO — valor presente, falta confirmação",8.2,1,23.2,96,7,4,warming_up,32.8,cheap,22.0,25.7,20.3,63.3,44.0,neutral,41.6,22.4,67.9,,,,,
